"Code","Occupation","Employed_census_usually_resident_population_count_aged_15_years_and_over"
"711113","Glass Production Machine Operator",183
"711114","Stone Processing Machine Operator",96
"711199","Clay, Concrete, Glass and Stone Processing Machine Operators nec",69
"711211","Industrial Spraypainter",1641
"711311","Paper Products Machine Operator",390
"711313","Sawmilling Operator",1452
"711314","Other Wood Processing Machine Operator",690
"711411","Photographic Developer and Printer",210
"711511","Plastic Cablemaking Machine Operator",33
"711512","Plastic Compounding and Reclamation Machine Operator",126
"711513","Plastics Fabricator or Welder",243
"711514","Plastics Production Machine Operator (General)",675
"711515","Reinforced Plastic and Composite Production Worker",249
"711516","Rubber Production Machine Operator",219
"711599","Plastics and Rubber Production Machine Operators nec",27
"711611","Sewing Machinist",3513
"711711","Footwear Production Machine Operator",12
"711712","Hide and Skin Processing Machine Operator",138
"711713","Knitting Machine Operator",129
"711714","Textile Dyeing and Finishing Machine Operator",525
"711715","Weaving Machine Operator",132
"711716","Yarn Carding and Spinning Machine Operator",141
"711799","Textile and Footwear Production Machine Operators nec",123
"711911","Chemical Production Machine Operator",588
"711912","Motion Picture Projectionist",75
"711913","Sand Blaster",267
"711914","Sterilisation Technician",696
"711999","Machine Operators nec",8241
"712111","Crane, Hoist or Lift Operator",1542
"712211","Driller",873
"712212","Miner",576
"712213","Shot Firer",42
"712311","Engineering Production Worker",6027
"712911","Boiler or Engine Operator",333
"712912","Bulk Materials Handling Plant Operator",183
"712913","Cement Production Plant Operator",36
"712914","Concrete Batching Plant Operator",165
"712915","Concrete Pump Operator",288
"712916","Paper and Pulp Mill Operator",366
"712917","Railway Signal Operator",153
"712918","Train Controller",150
"712921","Waste Water or Water Plant Operator",897
"712922","Weighbridge Operator",192
"712999","Stationary Plant Operators nec",339
"721111","Agricultural and Horticultural Mobile Plant Operator",5520
"721112","Logging Plant Operator",336
"721211","Earthmoving Plant Operator (General)",4002
"721212","Backhoe Operator",0
"721213","Bulldozer Operator",105
"721214","Excavator Operator",4128
"721215","Grader Operator",267
"721216","Loader Operator",1275
"721311","Forklift Driver",6354
"721911","Aircraft Baggage Handler and Airline Ground Crew",1314
"721912","Linemarker",396
"721913","Paving Plant Operator",1272
"721914","Railway Track Plant Operator",21
"721915","Road Roller Operator",252
"721916","Streetsweeper Operator",177
"721999","Mobile Plant Operators nec",267
"731111","Chauffeur",3738
"731112","Taxi Driver",4845
"731199","Automobile Drivers nec",138
"731211","Bus Driver",7740
"731212","Charter and Tour Bus Driver",612
"731213","Passenger Coach Driver",522
"731311","Train Driver",1098
"731312","Tram Driver",36
"732111","Delivery Driver",5538
"733111","Truck Driver (General)",34560
"733112","Aircraft Refueller",135
"733113","Furniture Removalist",963
"733114","Tanker Driver",1341
"733115","Tow Truck Driver",315
"741111","Storeperson",26610
"811111","Car Detailer",3675
"811211","Commercial Cleaner",36549
"811311","Domestic Cleaner",2028
"811411","Commercial Housekeeper",5889
"811412","Domestic Housekeeper",618
"811511","Laundry Worker (General)",2454
"811512","Drycleaner",255
"811513","Ironer or Presser",168
"811611","Carpet Cleaner",450
"811612","Window Cleaner",612
"811699","Cleaners nec",159
"821111","Builder's Labourer",11382
"821112","Drainage, Sewerage and Stormwater Labourer",186
"821113","Earthmoving Labourer",252
"821114","Plumber's Assistant",105
"821211","Concreter",1683
"821311","Fencer",2382
"821411","Building Insulation Installer",693
"821412","Home Improvement Installer",1107
"821511","Paving and Surfacing Labourer",297
"821611","Railway Track Worker",288
"821711","Construction Rigger",933
"821712","Scaffolder",3057
"821713","Steel Fixer",660
"821714","Structural Steel Erector",129
"821911","Crane Chaser",12
"821912","Driller's Assistant",129
"821913","Lagger",57
"821914","Mining Support Worker",744
"821915","Surveyor's Assistant",120
"831111","Baking Factory Worker",1374
"831112","Brewery Worker",504
"831113","Confectionery Maker",231
"831114","Dairy Products Maker",3078
"831115","Fruit and Vegetable Factory Worker",279
"831116","Grain Mill Worker",177
"831117","Sugar Mill Worker",21
"831118","Winery Cellar Hand",561
"831199","Food and Drink Factory Workers nec",3147
"831211","Meat Boner and Slicer",2544
"831212","Slaughterer",4785
"831311","Meat Process Worker",6927
"831312","Poultry Process Worker",861
"831313","Seafood Process Worker",1743
"832111","Chocolate Packer",12
"832112","Container Filler",10617
"832113","Fruit and Vegetable Packer",1053
"832114","Meat Packer",1827
"832115","Seafood Packer",42
"832199","Packers nec",165
"832211","Product Assembler",4092
"839111","Metal Engineering Process Worker",363
"839211","Plastics Factory Worker",201
"839212","Rubber Factory Worker",33
"839311","Product Examiner",906
"839312","Product Grader",474
"839313","Product Tester",135
"839411","Paper and Pulp Mill Worker",258
"839412","Sawmill or Timber Yard Worker",2349
"839413","Wood and Wood Products Factory Worker",597
"839911","Cement and Concrete Plant Worker",1458
"839912","Chemical Plant Worker",90
"839913","Clay Processing Factory Worker",51
"839914","Fabric and Textile Factory Worker",144
"839915","Footwear Factory Worker",0
"839916","Glass Processing Worker",657
"839917","Hide and Skin Processing Worker",195
"839918","Recycling Worker",405
"839999","Factory Process Workers nec",354
"841111","Aquaculture Worker",228
"841211","Fruit or Nut Farm Worker",5283
"841212","Fruit or Nut Picker",1929
"841213","Grain, Oilseed or Pasture Farm Worker (Aus) / Field Crop Farm Worker (NZ)",138
"841214","Vegetable Farm Worker (Aus) / Market Garden Worker (NZ)",756
"841215","Vegetable Picker",204
"841216","Vineyard Worker",2178
"841217","Mushroom Picker",276
"841299","Crop Farm Workers nec",144
"841311","Forestry Worker",3309
"841312","Logging Assistant",1236
"841313","Tree Faller",282
"841411","Garden Labourer",3987
"841412","Horticultural Nursery Assistant",3795
"841511","Beef Cattle Farm Worker",168
"841512","Dairy Cattle Farm Worker",5304
"841513","Mixed Livestock Farm Worker",78
"841514","Poultry Farm Worker",549
"841515","Sheep Farm Worker",2010
"841516","Stablehand",1296
"841517","Wool Handler",957
"841599","Livestock Farm Workers nec",294
"841611","Mixed Crop and Livestock Farm Worker",16152
"841911","Hunter-Trapper",129
"841913","Pest Controller",849
"841999","Farm, Forestry and Garden Workers nec",429
"851111","Fast Food Cook",2613
"851211","Pastrycook's Assistant",1824
"851299","Food Trades Assistants nec",2775
"851311","Kitchenhand",16374
"891111","Freight Handler (Rail or Road)",2142
"891112","Truck Driver's Offsider",75
"891113","Waterside Worker",2043
"891211","Shelf Filler",3459
"899111","Caretaker",3966
"899211","Deck Hand",1002
"899212","Fishing Hand",1131
"899311","Handyperson",2496
"899411","Motor Vehicle Parts and Accessories Fitter (General)",72
"899412","Autoglazier",360
"899413","Exhaust and Muffler Repairer",24
"899414","Radiator Repairer",87
"899415","Tyre Fitter",1572
"899511","Printer's Assistant",213
"899512","Printing Table Worker",177
"899611","Recycling or Rubbish Collector",615
"899711","Vending Machine Attendant",87
"899911","Bicycle Mechanic",483
"899912","Car Park Attendant",156
"899913","Crossing Supervisor",6
"899914","Electrical or Telecommunications Trades Assistant",84
"899915","Leaflet or Newspaper Deliverer",2802
"899916","Mechanic's Assistant",60
"899917","Railways Assistant",42
"899918","Sign Erector",126
"899921","Ticket Collector or Usher",1254
"899922","Trolley Collector",555
"899923","Road Traffic Controller",1704
"899999","Labourers nec",43971
"997000","Response unidentifiable",0
"999000","Response outside scope",0
"999999","Not stated",0
"TotalStated","Total stated",2445141
"Total","Total",2445141
